"23";"0";"10.72.100.0";"PFN - ARACAJU";"10.72.161.84/cacic";"10.72.161.84";"30";"S"
"6";"0";"10.72.101.0";"PFN - SALVADOR";"10.72.161.84/cacic";"10.72.161.84";"30";"S"
"32";"0";"10.72.103.0";"PSFN - ARA�ATUBA";"10.72.161.84/cacic";"10.72.161.84";"30";"S"
"29";"0";"10.72.104.0";"PSFN - BAURU";"10.72.161.84/cacic";"10.72.161.84";"30";"S"
"43";"0";"10.72.105.0";"PSFN - CAMPINAS";"10.72.161.84/cacic";"10.72.161.84";"30";"S"
"55";"0";"10.72.106.0";"PSFN - FRANCA";"10.72.161.84/cacic";"10.72.161.84";"30";"S"
"57";"0";"10.72.107.0";"PSFN - GUARULHOS";"10.72.161.84/cacic";"10.72.161.84";"30";"S"
"77";"0";"10.72.108.0";"PSFN - MARILIA";"10.72.161.84/cacic";"10.72.161.84";"30";"S"
"83";"0";"10.72.109.0";"PSFN - OSASCO";"10.72.161.84/cacic";"10.72.161.84";"30";"S"
"90";"0";"10.72.110.0";"PSFN - PIRACICABA";"10.72.161.84/cacic";"10.72.161.84";"30";"S"
"84";"0";"10.72.111.0";"PSFN - PRESIDENTE PRUDENTE";"10.72.161.84/cacic";"10.72.161.84";"30";"S"
"96";"0";"10.72.112.0";"PSFN - RIBEIR�O PRETO-SP";"10.72.161.84/cacic";"10.72.161.84";"30";"S"
"107";"0";"10.72.113.0";"PSFN - SANTO ANDRE";"10.72.161.84/cacic";"10.72.161.84";"30";"S"
"105";"0";"10.72.114.0";"PSFN - SANTOS";"10.72.161.84";"10.72.161.84";"100";"S"
"101";"0";"10.72.115.0";"PSFN - SBC";"10.72.161.84/cacic";"10.72.161.84";"30";"S"
"99";"0";"10.72.116.0";"PSFN - S�O CARLOS";"10.72.161.84/cacic";"10.72.161.84";"30";"S"
"104";"0";"10.72.117.0";"PSFN - SJRP";"10.72.161.84/cacic";"10.72.161.84";"30";"S"
"103";"0";"10.72.118.0";"PSFN - SJC";"10.72.161.84/cacic";"10.72.161.84";"30";"S"
"106";"0";"10.72.119.0";"PSFN - SOROCABA";"10.72.161.84/cacic";"10.72.161.84";"30";"S"
"28";"0";"10.72.120.128";"Vlan das esta��es do t�rreo";"10.72.161.84/cacic";"10.72.161.84";"30";"S"
"28";"0";"10.72.120.192";"Vlan das esta��es do 1� andar";"10.72.161.84/cacic";"10.72.161.84";"30";"S"
"28";"0";"10.72.120.96";"Vlan do subsolo";"10.72.161.84/cacic";"10.72.161.84";"30";"S"
